S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
52,0,118,7,118,0,51,12,0,1,0,0,7,9,0,1,2,8,0,0,1,7,0,0,0,0,0,0,0,1,0,0,-0.145969152450561,-0.269898861646652,0.698138475418091,-0.04862792044878,-0.0706128627061843,0.388393580913544,0.166227921843529,-0.121491611003876,0.33406075835228,28_Oct_2024_16_06
56,0,117,5,121,0,53,10,0,2,0,0,0,1,0,0,3,0,0,0,0,7,0,6,0,0,0,1,0,0,0,0,-0.145902931690216,-0.269804269075394,0.69811737537384,-0.0495077073574066,-0.0700108632445335,0.388312429189682,0.165553092956543,-0.119236662983894,0.333281189203262,28_Oct_2024_16_06
53,10,116,5,118,6,50,12,2,5,1,0,2,2,0,0,1,1,0,0,1,6,0,0,0,0,0,1,1,0,1,0,-0.145837754011154,-0.269701242446899,0.698099493980408,-0.0503921099007129,-0.0694281160831451,0.3882095515728,0.16486282646656,-0.117153100669384,0.332391947507858,28_Oct_2024_16_06
55,0,116,2,115,0,51,12,0,12,0,1,1,1,0,0,1,0,0,0,0,6,0,2,0,0,0,1,0,0,0,1,-0.145711049437523,-0.269424855709076,0.698205769062042,-0.0517148748040199,-0.0685542374849319,0.388059675693512,0.163766652345657,-0.114069066941738,0.33116415143013,28_Oct_2024_16_06
56,0,115,2,113,0,49,14,1,2,0,1,2,3,0,1,11,0,1,0,0,8,9,4,9,1,0,2,0,0,0,0,-0.145647406578064,-0.269220590591431,0.698310494422913,-0.0526026003062725,-0.067990593612194,0.387982904911041,0.163016065955162,-0.112070865929127,0.330394625663757,28_Oct_2024_16_06
53,5,117,0,114,0,45,9,0,3,0,1,0,1,0,0,9,1,0,1,13,7,0,0,0,4,1,1,0,0,1,0,-0.145566791296005,-0.268741637468338,0.698533892631531,-0.0539293959736824,-0.0671607255935669,0.38788715004921,0.161968469619751,-0.108981035649776,0.329390704631805,28_Oct_2024_16_06
61,0,117,2,115,1,46,12,0,0,0,2,0,11,0,0,2,0,1,0,0,3,2,10,0,0,0,1,0,1,0,0,-0.145534604787826,-0.26845121383667,0.698620975017548,-0.0548056773841381,-0.0666033178567886,0.387846022844315,0.161203995347023,-0.106897599995136,0.328761726617813,28_Oct_2024_16_06
56,0,117,2,114,1,46,11,1,2,2,0,1,2,0,0,1,3,0,0,2,13,0,0,0,0,0,1,0,0,0,0,-0.145500272512436,-0.268324613571167,0.698611736297607,-0.0556800253689289,-0.0660702139139175,0.387789130210876,0.160501778125763,-0.104939706623554,0.328103840351105,28_Oct_2024_16_06
58,0,115,0,117,0,45,12,0,1,0,1,2,2,0,2,3,0,0,1,1,7,0,0,0,12,0,0,0,2,1,0,-0.145479470491409,-0.268296837806702,0.698418021202087,-0.0569791495800018,-0.065284140408039,0.387674868106842,0.159374117851257,-0.102255687117577,0.327023714780807,28_Oct_2024_16_06
58,0,112,4,116,0,43,13,1,1,0,0,0,3,0,0,4,12,13,0,2,13,0,1,0,1,0,1,0,0,0,0,-0.145457863807678,-0.26822891831398,0.698361754417419,-0.0578349903225898,-0.0647735074162483,0.387620985507965,0.158555790781975,-0.100509740412235,0.326397746801376,28_Oct_2024_16_06
