S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
7,0,91,13,87,0,27,0,5,5,0,0,0,3,7,0,0,6,1,0,0,1,2,0,0,0,0,1,0,0,0,0,-0.3151560127735138,-0.3719249069690704,0.506009578704834,-0.0337238274514675,-0.1042333990335464,0.3046371340751648,0.1895854622125625,-0.0463331900537014,0.3289831280708313,01_Jan_2025_12_27
8,1,91,11,87,0,27,0,5,7,13,0,0,2,8,3,2,8,1,0,0,1,0,8,1,0,1,0,1,0,0,0,-0.3151560127735138,-0.3719249069690704,0.506009578704834,-0.0337238274514675,-0.1042333990335464,0.3046371340751648,0.1895854622125625,-0.0463331900537014,0.3289831280708313,01_Jan_2025_12_27
4,0,93,18,83,0,27,0,5,6,6,4,0,0,1,0,0,4,0,0,0,1,9,1,0,0,0,0,0,4,0,0,-0.3151560127735138,-0.3719249069690704,0.506009578704834,-0.0337238274514675,-0.1042333990335464,0.3046371340751648,0.1895854622125625,-0.0463331900537014,0.3289831280708313,01_Jan_2025_12_27
8,0,90,18,85,1,27,0,4,8,0,1,5,7,0,0,0,3,3,3,3,1,0,0,0,1,1,0,0,0,0,0,-0.3151560127735138,-0.3719249069690704,0.506009578704834,-0.0337238274514675,-0.1042333990335464,0.3046371340751648,0.1895854622125625,-0.0463331900537014,0.3289831280708313,01_Jan_2025_12_27
8,0,89,14,87,2,27,1,5,5,0,11,0,0,0,0,0,3,3,0,13,1,1,2,0,0,0,0,0,0,1,8,-0.3151560127735138,-0.3719249069690704,0.506009578704834,-0.0337238274514675,-0.1042333990335464,0.3046371340751648,0.1895854622125625,-0.0463331900537014,0.3289831280708313,01_Jan_2025_12_27
11,0,89,15,85,0,28,2,2,3,0,0,0,1,2,2,1,10,0,0,8,2,0,0,1,0,4,0,0,1,0,3,-0.3151560127735138,-0.3719249069690704,0.506009578704834,-0.0337238274514675,-0.1042333990335464,0.3046371340751648,0.1895854622125625,-0.0463331900537014,0.3289831280708313,01_Jan_2025_12_27
6,0,81,15,86,0,25,0,2,6,0,0,1,0,0,1,0,4,0,0,3,3,1,0,0,0,0,0,0,4,0,0,-0.3152858316898346,-0.372185617685318,0.5059853792190552,-0.0341354310512542,-0.1036409512162208,0.3062262237071991,0.1897447556257248,-0.046043761074543,0.331453412771225,01_Jan_2025_12_27
8,1,80,6,82,0,28,1,5,4,7,3,0,1,31,0,0,4,0,2,1,1,0,0,0,0,0,1,0,0,0,13,-0.3152858316898346,-0.372185617685318,0.5059853792190552,-0.0341354310512542,-0.1036409512162208,0.3062262237071991,0.1897447556257248,-0.046043761074543,0.331453412771225,01_Jan_2025_12_27
7,0,85,19,82,0,29,0,7,5,1,0,0,3,0,0,0,10,0,2,2,1,1,0,5,0,0,0,3,0,0,1,-0.3152858316898346,-0.372185617685318,0.5059853792190552,-0.0341354310512542,-0.1036409512162208,0.3062262237071991,0.1897447556257248,-0.046043761074543,0.331453412771225,01_Jan_2025_12_27
4,0,83,12,80,12,27,0,4,4,6,3,0,1,0,13,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-0.3152858316898346,-0.372185617685318,0.5059853792190552,-0.0341354310512542,-0.1036409512162208,0.3062262237071991,0.1897447556257248,-0.046043761074543,0.331453412771225,01_Jan_2025_12_27
