S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
68,1,78,1,132,1,45,9,0,12,0,0,0,0,0,1,0,0,2,0,10,5,1,0,1,0,0,0,0,1,0,0,-0.169210940599441,-0.310473620891571,0.712870180606842,-0.0244467295706272,-0.0782743468880653,0.445733636617661,0.188099309802055,-0.0911132618784904,0.352870017290115,28_Oct_2024_16_04
68,0,76,3,128,0,49,10,1,8,11,9,1,0,0,1,7,0,1,13,0,5,0,0,0,0,0,0,1,5,2,0,-0.169304952025414,-0.310680717229843,0.712880492210388,-0.0221438966691494,-0.078630693256855,0.447160691022873,0.190707460045814,-0.0923185795545578,0.354860365390778,28_Oct_2024_16_04
65,0,78,0,131,0,49,12,0,5,1,1,0,0,0,11,0,0,0,0,1,6,0,1,3,7,0,1,0,1,0,0,-0.169443637132645,-0.310986965894699,0.712920665740967,-0.0186127014458179,-0.0791670233011245,0.449361324310303,0.194634646177292,-0.0938993692398071,0.357799082994461,28_Oct_2024_16_04
71,0,76,11,127,0,43,6,1,6,0,3,0,0,0,3,0,0,2,0,6,6,1,0,0,0,1,0,0,1,0,0,-0.169545397162437,-0.31117233633995,0.712986528873444,-0.0162143483757972,-0.0795272141695022,0.450867623090744,0.197300732135773,-0.0948719605803489,0.359815150499344,28_Oct_2024_16_04
74,3,78,15,136,0,45,7,0,6,1,1,0,0,0,0,2,4,0,12,1,5,0,0,0,0,0,0,2,0,1,0,-0.169632568955421,-0.311354875564575,0.713035106658936,-0.0137898586690425,-0.0799056738615036,0.452381700277329,0.199952602386475,-0.0957333743572235,0.361940622329712,28_Oct_2024_16_04
73,0,80,0,132,0,50,10,5,10,0,2,1,0,0,1,0,0,8,0,3,0,0,0,1,0,0,0,0,0,0,0,-0.169674947857857,-0.311617851257324,0.712916135787964,-0.0101358294486999,-0.0804747492074966,0.454731971025467,0.203967154026031,-0.097009502351284,0.365111589431763,28_Oct_2024_16_04
75,8,81,2,135,1,47,8,5,10,0,0,0,0,0,0,8,0,0,0,0,7,14,0,0,0,0,0,0,3,0,1,-0.169678658246994,-0.311808437108993,0.712820768356323,-0.0077455639839172,-0.0806911438703537,0.456462115049362,0.20664381980896,-0.0978340804576873,0.36733078956604,28_Oct_2024_16_04
77,0,83,2,133,0,50,11,1,12,3,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,-0.169668301939964,-0.31216499209404,0.712726473808289,-0.0041292048990726,-0.0811628475785255,0.459018617868423,0.210719227790832,-0.0991037636995315,0.370698124170303,28_Oct_2024_16_04
83,1,85,10,133,0,50,9,2,8,0,3,1,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,-0.169719070196152,-0.312378138303757,0.712673366069794,-0.0017348453402519,-0.0813779681921005,0.460839569568634,0.213435336947441,-0.100000910460949,0.373116433620453,28_Oct_2024_16_04
84,13,87,6,133,0,59,11,1,0,0,1,0,0,0,1,0,1,1,0,0,5,0,1,0,0,0,0,1,0,1,0,-0.169760346412659,-0.312576323747635,0.712637901306152,0.0006349198520183,-0.081625260412693,0.462650954723358,0.216122195124626,-0.100933864712715,0.375558793544769,28_Oct_2024_16_04
82,0,89,1,133,0,61,9,0,6,0,2,0,1,0,0,2,0,0,1,1,5,1,0,0,0,1,0,0,2,0,0,-0.169825300574303,-0.312859326601028,0.712588667869568,0.0041248816996812,-0.08206357806921,0.4653559923172,0.220165565609932,-0.10258824378252,0.379553377628326,28_Oct_2024_16_04
81,3,86,0,139,0,62,7,1,8,2,1,0,1,0,0,0,0,1,0,1,6,0,0,0,0,0,3,14,1,0,0,-0.169873297214508,-0.313036382198334,0.712556719779968,0.0064142262563109,-0.0823450312018394,0.467182874679565,0.222748011350632,-0.103786915540695,0.382304012775421,28_Oct_2024_16_04
102,0,85,5,138,0,64,6,1,12,0,1,3,0,0,1,0,0,0,0,0,1,1,12,0,0,0,0,0,0,1,13,-0.169903814792633,-0.313203722238541,0.712524950504303,0.0086776791140437,-0.0826310142874717,0.469035118818283,0.225309088826179,-0.105017371475697,0.385164856910705,28_Oct_2024_16_04
92,5,84,13,141,0,68,10,6,9,0,4,0,0,0,0,3,0,0,0,13,3,0,0,0,1,0,3,3,2,3,0,-0.169935464859009,-0.313441812992096,0.71248722076416,0.0120263285934925,-0.0830641984939575,0.471876978874206,0.229174256324768,-0.106926575303078,0.389504134654999,28_Oct_2024_16_04
97,0,86,11,144,5,67,11,1,9,0,0,0,0,0,1,6,0,5,0,0,2,2,13,0,0,0,0,0,1,0,0,-0.169947177171707,-0.313601434230804,0.712467849254608,0.0142303500324487,-0.083348847925663,0.473846435546875,0.231663644313812,-0.108242653310299,0.392539083957672,28_Oct_2024_16_04
98,0,88,3,147,3,65,11,0,16,4,1,1,0,0,0,1,2,3,1,1,12,0,0,0,0,0,0,1,1,0,0,-0.16995669901371,-0.313825309276581,0.71244740486145,0.017515230923891,-0.0838651284575462,0.476859390735626,0.235362231731415,-0.110518403351307,0.397137999534607,28_Oct_2024_16_04
97,0,86,15,147,1,67,16,0,12,0,0,2,0,0,3,6,9,0,0,0,6,13,0,0,0,0,0,1,12,0,0,-0.169948756694794,-0.313949704170227,0.712450325489044,0.0197094455361366,-0.0842704623937606,0.478919208049774,0.237894877791405,-0.112174995243549,0.400375902652741,28_Oct_2024_16_04
