S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
57,0,121,10,134,0,77,15,2,6,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,4,2,6,0,1,0,-0.131193801760673,-0.268324673175812,0.716403365135193,0.0753393471240997,-0.125824958086014,0.454130589962006,0.196728438138962,-0.316749811172485,0.454527258872986,28_Oct_2024_16_02
59,0,104,8,112,13,65,17,9,8,0,1,0,11,0,0,1,0,2,0,0,2,0,0,1,0,0,4,0,0,0,0,-0.131413742899895,-0.266249418258667,0.715537965297699,0.089443989098072,-0.129708290100098,0.460112065076828,0.239046022295952,-0.306003391742706,0.443585574626923,28_Oct_2024_16_02
61,0,100,8,119,0,65,16,1,9,4,2,0,2,0,0,4,0,1,1,0,2,0,2,4,3,12,1,0,1,0,0,-0.131303891539574,-0.265851378440857,0.715444505214691,0.0924047753214836,-0.130091160535812,0.461487531661987,0.24624103307724,-0.302937299013138,0.44260174036026,28_Oct_2024_16_02
61,0,95,13,115,0,62,16,11,9,1,1,0,3,0,1,0,1,5,1,2,1,1,0,0,0,0,2,0,3,0,0,-0.131253972649574,-0.265553891658783,0.715360641479492,0.0944492444396019,-0.130289703607559,0.462447226047516,0.250863254070282,-0.300828486680984,0.441881418228149,28_Oct_2024_16_02
57,0,88,13,114,0,62,16,3,7,0,2,0,4,0,0,0,3,0,1,0,0,1,4,0,0,0,1,0,1,0,0,-0.13120524585247,-0.265123397111893,0.715252757072449,0.097625158727169,-0.130546748638153,0.463972508907318,0.258202642202377,-0.297489285469055,0.440945625305176,28_Oct_2024_16_02
61,0,86,6,117,0,61,17,0,8,1,1,1,2,0,0,3,2,0,1,0,3,13,0,0,2,0,2,0,1,0,0,-0.131163328886032,-0.264945894479752,0.715238034725189,0.099793717265129,-0.130721732974052,0.465032130479813,0.263178050518036,-0.295283526182175,0.440451860427856,28_Oct_2024_16_02
66,0,88,10,113,0,61,19,1,8,0,1,2,3,0,1,1,3,3,2,1,2,0,1,0,0,0,2,0,1,0,0,-0.131212875247002,-0.264831244945526,0.715154945850372,0.101982593536377,-0.130923941731453,0.466125071048737,0.267913490533829,-0.293200373649597,0.439751237630844,28_Oct_2024_16_02
56,0,81,8,104,0,57,14,1,4,0,0,0,3,0,0,0,1,0,0,0,3,0,1,0,0,0,0,2,1,8,1,-0.131298750638962,-0.264652192592621,0.715026319026947,0.105269812047482,-0.131298333406448,0.467822909355164,0.275359809398651,-0.289816439151764,0.439063549041748,28_Oct_2024_16_02
55,0,76,6,105,0,55,15,0,6,1,11,0,3,0,0,0,1,3,0,1,0,2,0,0,0,0,4,0,1,0,1,-0.131331145763397,-0.264498174190521,0.714945197105408,0.107446268200874,-0.131610229611397,0.468977063894272,0.280345171689987,-0.287542581558227,0.438570350408554,28_Oct_2024_16_02
54,0,76,4,99,0,46,18,3,6,0,0,0,3,0,0,0,0,2,5,13,1,0,0,0,0,0,4,7,1,0,0,-0.131271675229072,-0.264170795679092,0.714862823486328,0.110642276704311,-0.132138609886169,0.470749855041504,0.287758558988571,-0.283931851387024,0.438031375408173,28_Oct_2024_16_02
54,0,72,12,101,0,47,20,1,8,0,0,0,1,0,0,1,1,2,5,1,1,0,0,6,0,0,2,0,0,0,1,-0.131215959787369,-0.263882577419281,0.714842081069946,0.112729705870152,-0.132531031966209,0.47194305062294,0.292554438114166,-0.281457751989365,0.437712460756302,28_Oct_2024_16_02
49,0,64,11,102,0,47,19,0,9,4,0,0,0,0,1,1,1,3,0,0,1,0,0,0,4,1,4,0,8,12,0,-0.131161868572235,-0.263630151748657,0.714813530445099,0.114789843559265,-0.132932752370834,0.473138213157654,0.297093957662582,-0.278921484947205,0.437365174293518,28_Oct_2024_16_02
47,2,60,11,104,0,50,15,0,7,0,0,1,4,0,2,0,0,0,8,1,1,0,0,3,0,0,1,0,1,0,0,-0.130928009748459,-0.263231575489044,0.714879810810089,0.117854565382004,-0.133473858237267,0.474948823451996,0.303641527891159,-0.274869829416275,0.437123537063599,28_Oct_2024_16_02
