S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
36,0,73,38,137,0,159,6,5,3,1,3,9,2,0,0,11,2,3,0,1,3,0,1,1,0,2,0,1,0,0,0,-0.20710426568985,-0.311042636632919,0.731192111968994,0.156075030565262,-0.223212391138077,0.674990355968475,0.401173979043961,-0.34930557012558,0.702287554740906,02_Jan_2025_10_24
33,4,75,32,132,3,164,5,10,0,0,3,1,0,0,3,2,3,0,0,2,1,1,1,2,0,1,0,3,3,2,4,-0.20710426568985,-0.311042636632919,0.731192111968994,0.156075030565262,-0.223212391138077,0.674990355968475,0.401173979043961,-0.34930557012558,0.702287554740906,02_Jan_2025_10_24
36,11,72,36,137,3,157,10,3,5,4,3,5,6,0,0,3,2,0,0,0,0,0,3,1,1,1,0,2,1,1,3,-0.20710426568985,-0.311042636632919,0.731192111968994,0.156075030565262,-0.223212391138077,0.674990355968475,0.401173979043961,-0.34930557012558,0.702287554740906,02_Jan_2025_10_24
34,0,74,30,133,0,160,9,5,3,4,2,0,1,0,2,3,3,0,0,13,0,3,0,3,0,0,1,3,1,1,1,-0.20710426568985,-0.311042636632919,0.731192111968994,0.156075030565262,-0.223212391138077,0.674990355968475,0.401173979043961,-0.34930557012558,0.702287554740906,02_Jan_2025_10_24
37,3,75,33,134,0,164,3,5,1,1,3,3,0,0,0,7,0,0,2,1,1,5,0,0,0,0,0,0,1,0,2,-0.20710426568985,-0.311042636632919,0.731192111968994,0.156075030565262,-0.223212391138077,0.674990355968475,0.401173979043961,-0.34930557012558,0.702287554740906,02_Jan_2025_10_24
32,1,75,31,139,3,158,7,4,6,0,1,0,0,0,1,1,1,0,2,2,0,0,2,0,2,2,0,3,1,3,1,-0.20710426568985,-0.311042636632919,0.731192111968994,0.156075030565262,-0.223212391138077,0.674990355968475,0.401173979043961,-0.34930557012558,0.702287554740906,02_Jan_2025_10_24
35,0,72,38,143,12,166,7,0,3,1,2,0,3,0,1,1,1,1,0,3,3,0,1,0,1,0,1,0,1,4,2,-0.20710426568985,-0.311042636632919,0.731192111968994,0.156075030565262,-0.223212391138077,0.674990355968475,0.401173979043961,-0.34930557012558,0.702287554740906,02_Jan_2025_10_24
33,1,72,33,138,0,161,9,4,4,0,1,5,3,0,3,4,1,1,1,1,2,0,0,3,0,3,0,0,0,0,0,-0.20710426568985,-0.311042636632919,0.731192111968994,0.156075030565262,-0.223212391138077,0.674990355968475,0.401173979043961,-0.34930557012558,0.702287554740906,02_Jan_2025_10_24
34,2,75,31,141,1,163,9,7,1,0,0,1,0,0,1,3,2,1,1,1,1,1,0,2,0,1,0,2,5,4,3,-0.20710426568985,-0.311042636632919,0.731192111968994,0.156075030565262,-0.223212391138077,0.674990355968475,0.401173979043961,-0.34930557012558,0.702287554740906,02_Jan_2025_10_24
33,2,76,34,137,0,162,9,0,4,1,0,0,3,0,0,4,3,1,1,1,3,1,2,0,2,2,5,0,0,4,0,-0.20710426568985,-0.311042636632919,0.731192111968994,0.156075030565262,-0.223212391138077,0.674990355968475,0.401173979043961,-0.34930557012558,0.702287554740906,02_Jan_2025_10_24
