S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
31,0,99,23,92,2,66,25,14,8,0,3,1,4,0,0,0,3,0,0,0,0,4,0,5,0,1,0,0,4,0,0,-0.195652201771736,-0.244915962219238,0.704068839550018,-0.0975125432014465,-0.0762297734618187,0.337403744459152,0.261221528053284,0.0243498496711254,0.259756714105606,02_Jan_2025_10_32
27,0,98,21,85,0,72,23,14,12,1,0,6,6,0,4,1,1,3,0,1,3,6,8,0,0,5,0,0,0,0,0,-0.195652201771736,-0.244915962219238,0.704068839550018,-0.0975125432014465,-0.0762297734618187,0.337403744459152,0.261221528053284,0.0243498496711254,0.259756714105606,02_Jan_2025_10_32
26,0,95,27,90,0,71,23,12,10,0,0,4,9,0,1,1,0,0,1,1,5,0,0,0,2,1,2,1,1,0,0,-0.195652201771736,-0.244915962219238,0.704068839550018,-0.0975125432014465,-0.0762297734618187,0.337403744459152,0.261221528053284,0.0243498496711254,0.259756714105606,02_Jan_2025_10_32
22,13,95,22,89,4,70,21,15,12,0,0,3,7,0,0,1,0,0,1,3,4,0,10,1,8,1,3,1,2,13,0,-0.195652201771736,-0.244915962219238,0.704068839550018,-0.0975125432014465,-0.0762297734618187,0.337403744459152,0.261221528053284,0.0243498496711254,0.259756714105606,02_Jan_2025_10_32
28,0,98,23,85,0,70,25,16,11,1,0,0,8,0,0,0,2,0,2,0,2,6,5,2,0,1,0,5,0,0,6,-0.195652201771736,-0.244915962219238,0.704068839550018,-0.0975125432014465,-0.0762297734618187,0.337403744459152,0.261221528053284,0.0243498496711254,0.259756714105606,02_Jan_2025_10_32
25,4,96,23,87,0,71,24,12,11,6,1,2,12,0,0,0,3,1,0,0,2,8,2,1,0,13,4,1,0,1,0,-0.195652201771736,-0.244915962219238,0.704068839550018,-0.0975125432014465,-0.0762297734618187,0.337403744459152,0.261221528053284,0.0243498496711254,0.259756714105606,02_Jan_2025_10_32
26,1,95,23,86,2,78,21,16,8,3,1,0,7,0,0,0,0,1,0,3,0,8,1,0,0,2,3,1,0,4,0,-0.195652201771736,-0.244915962219238,0.704068839550018,-0.0975125432014465,-0.0762297734618187,0.337403744459152,0.261221528053284,0.0243498496711254,0.259756714105606,02_Jan_2025_10_32
25,1,96,24,86,0,73,26,15,10,0,2,2,5,0,0,0,0,0,2,2,4,2,3,0,4,0,3,1,0,0,0,-0.195652201771736,-0.244915962219238,0.704068839550018,-0.0975125432014465,-0.0762297734618187,0.337403744459152,0.261221528053284,0.0243498496711254,0.259756714105606,02_Jan_2025_10_32
32,1,95,25,91,16,70,26,12,13,3,0,0,4,0,0,2,2,0,1,0,6,3,0,0,0,4,5,1,3,0,0,-0.195652201771736,-0.244915962219238,0.704068839550018,-0.0975125432014465,-0.0762297734618187,0.337403744459152,0.261221528053284,0.0243498496711254,0.259756714105606,02_Jan_2025_10_32
22,0,93,24,96,0,76,23,14,14,3,1,0,7,0,2,0,2,0,0,2,5,4,2,17,0,2,3,2,0,0,4,-0.195652201771736,-0.244915962219238,0.704068839550018,-0.0975125432014465,-0.0762297734618187,0.337403744459152,0.261221528053284,0.0243498496711254,0.259756714105606,02_Jan_2025_10_32
