S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
36,1,93,14,118,1,155,3,1,3,1,1,2,20,0,0,1,0,10,1,1,0,1,1,0,0,0,2,0,0,1,0,-0.23760262131691,-0.2970931828022,0.700277149677277,0.132691845297813,-0.214883744716644,0.495895683765411,0.365685880184174,-0.270279198884964,0.387648314237595,06_Jan_2025_11_46
35,3,91,10,120,0,160,3,2,6,5,1,0,21,0,0,3,3,11,1,0,1,2,0,1,1,0,1,0,0,0,0,-0.23760262131691,-0.2970931828022,0.700277149677277,0.132691845297813,-0.214883744716644,0.495895683765411,0.365685880184174,-0.270279198884964,0.387648314237595,06_Jan_2025_11_46
35,3,91,12,120,0,154,3,2,3,0,0,0,21,0,3,1,1,9,1,1,0,0,1,0,0,0,0,0,1,1,0,-0.23760262131691,-0.2970931828022,0.700277149677277,0.132691845297813,-0.214883744716644,0.495895683765411,0.365685880184174,-0.270279198884964,0.387648314237595,06_Jan_2025_11_46
33,2,88,16,119,0,155,1,0,0,0,1,1,22,0,0,0,3,9,0,0,0,1,3,0,0,1,0,0,0,1,1,-0.23760262131691,-0.2970931828022,0.700277149677277,0.132691845297813,-0.214883744716644,0.495895683765411,0.365685880184174,-0.270279198884964,0.387648314237595,06_Jan_2025_11_46
37,4,92,15,118,0,158,3,1,2,0,0,0,16,0,0,0,0,9,0,2,0,6,1,1,0,1,0,0,9,0,0,-0.23760262131691,-0.2970931828022,0.700277149677277,0.132691845297813,-0.214883744716644,0.495895683765411,0.365685880184174,-0.270279198884964,0.387648314237595,06_Jan_2025_11_46
31,3,91,13,118,0,156,3,1,3,1,0,1,20,0,1,1,1,10,0,0,0,1,0,1,1,0,0,0,1,0,0,-0.23760262131691,-0.2970931828022,0.700277149677277,0.132691845297813,-0.214883744716644,0.495895683765411,0.365685880184174,-0.270279198884964,0.387648314237595,06_Jan_2025_11_46
38,4,93,14,118,2,155,3,9,2,1,1,2,19,0,0,1,2,11,0,0,1,1,0,0,0,0,0,1,3,1,0,-0.23760262131691,-0.2970931828022,0.700277149677277,0.132691845297813,-0.214883744716644,0.495895683765411,0.365685880184174,-0.270279198884964,0.387648314237595,06_Jan_2025_11_46
38,3,96,15,119,0,155,4,1,3,0,0,2,24,0,0,3,0,9,0,1,0,0,0,1,0,0,0,1,1,0,1,-0.23760262131691,-0.2970931828022,0.700277149677277,0.132691845297813,-0.214883744716644,0.495895683765411,0.365685880184174,-0.270279198884964,0.387648314237595,06_Jan_2025_11_46
35,3,92,11,120,0,155,4,1,3,0,1,0,18,0,1,7,0,11,2,0,0,0,0,2,0,2,1,0,0,0,1,-0.237523913383484,-0.297040313482285,0.700278043746948,0.132584512233734,-0.214872345328331,0.495387375354767,0.36537903547287,-0.270407974720001,0.386697471141815,06_Jan_2025_11_46
36,4,92,15,119,0,153,3,2,3,1,1,1,21,0,0,0,0,10,0,1,0,7,0,0,1,1,0,0,1,0,2,-0.237523913383484,-0.297040313482285,0.700278043746948,0.132584512233734,-0.214872345328331,0.495387375354767,0.36537903547287,-0.270407974720001,0.386697471141815,06_Jan_2025_11_46
35,3,91,15,120,0,153,3,2,2,0,0,0,19,0,1,3,0,11,0,0,1,1,6,0,2,1,1,0,0,8,1,-0.237523913383484,-0.297040313482285,0.700278043746948,0.132584512233734,-0.214872345328331,0.495387375354767,0.36537903547287,-0.270407974720001,0.386697471141815,06_Jan_2025_11_46
37,1,92,13,120,1,156,3,1,6,0,0,8,21,0,0,0,0,10,0,0,1,4,0,1,1,3,0,0,1,1,2,-0.237523913383484,-0.297040313482285,0.700278043746948,0.132584512233734,-0.214872345328331,0.495387375354767,0.36537903547287,-0.270407974720001,0.386697471141815,06_Jan_2025_11_46
36,4,94,10,118,0,155,1,4,7,5,1,0,19,0,0,0,0,9,2,3,0,4,0,1,0,1,1,3,0,0,1,-0.237523913383484,-0.297040313482285,0.700278043746948,0.132584512233734,-0.214872345328331,0.495387375354767,0.36537903547287,-0.270407974720001,0.386697471141815,06_Jan_2025_11_46
39,2,92,14,117,2,157,3,2,3,0,1,0,19,0,1,2,1,11,6,1,1,0,0,1,0,0,0,1,1,0,1,-0.237523913383484,-0.297040313482285,0.700278043746948,0.132584512233734,-0.214872345328331,0.495387375354767,0.36537903547287,-0.270407974720001,0.386697471141815,06_Jan_2025_11_46
36,0,92,15,118,1,156,0,4,2,1,1,0,20,0,0,0,0,10,1,0,0,1,1,0,1,1,0,8,1,1,0,-0.237523913383484,-0.297040313482285,0.700278043746948,0.132584512233734,-0.214872345328331,0.495387375354767,0.36537903547287,-0.270407974720001,0.386697471141815,06_Jan_2025_11_46
35,5,93,15,117,10,155,2,2,4,0,1,1,18,0,1,3,0,11,0,0,1,0,0,1,5,0,0,1,1,1,0,-0.237523913383484,-0.297040313482285,0.700278043746948,0.132584512233734,-0.214872345328331,0.495387375354767,0.36537903547287,-0.270407974720001,0.386697471141815,06_Jan_2025_11_46
35,4,91,9,122,0,152,4,1,4,0,0,1,20,0,0,6,1,10,0,2,0,1,0,1,1,0,0,0,1,1,0,-0.237523913383484,-0.297040313482285,0.700278043746948,0.132584512233734,-0.214872345328331,0.495387375354767,0.36537903547287,-0.270407974720001,0.386697471141815,06_Jan_2025_11_46
