S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz,session_time_stamp
250,4,224,15,401,0,227,85,24,2,0,1,0,0,25,0,5,0,0,0,7,27,5,71,8,0,0,11,0,1,0,6,-0.08638796210289001,-0.2907378673553467,0.578950047492981,0.09477853029966354,-0.2094012200832367,0.2741774618625641,0.2251145839691162,-0.2719939053058624,0.086366668343544,13_Jun_2024_14_19
250,3,226,15,401,0,226,91,22,1,0,0,0,0,26,0,2,0,0,0,12,26,0,72,0,1,0,11,0,1,0,12,-0.08638796210289001,-0.2907378673553467,0.578950047492981,0.09477853029966354,-0.2094012200832367,0.2741774618625641,0.2251145839691162,-0.2719939053058624,0.086366668343544,13_Jun_2024_14_19
250,7,227,17,400,1,230,89,23,4,0,3,1,0,22,0,5,0,0,8,14,26,4,70,0,3,0,12,0,1,0,0,-0.08638796210289001,-0.2907378673553467,0.578950047492981,0.09477853029966354,-0.2094012200832367,0.2741774618625641,0.2251145839691162,-0.2719939053058624,0.086366668343544,13_Jun_2024_14_19
247,5,227,19,395,0,224,85,22,8,2,1,0,1,27,0,4,0,0,1,8,22,4,71,0,0,0,12,0,2,0,0,-0.08638796210289001,-0.2907378673553467,0.578950047492981,0.09477853029966354,-0.2094012200832367,0.2741774618625641,0.2251145839691162,-0.2719939053058624,0.086366668343544,13_Jun_2024_14_19
248,8,231,18,393,0,230,83,21,3,0,1,4,0,29,3,2,0,1,0,14,16,5,70,0,0,0,15,0,7,0,0,-0.08638796210289001,-0.2907378673553467,0.578950047492981,0.09477853029966354,-0.2094012200832367,0.2741774618625641,0.2251145839691162,-0.2719939053058624,0.086366668343544,13_Jun_2024_14_19
247,6,229,19,395,0,231,80,21,2,0,1,0,0,28,0,2,0,1,0,13,21,5,74,0,0,2,12,0,0,2,0,-0.08638796210289001,-0.2907378673553467,0.578950047492981,0.09477853029966354,-0.2094012200832367,0.2741774618625641,0.2251145839691162,-0.2719939053058624,0.086366668343544,13_Jun_2024_14_19
245,5,230,18,398,11,226,82,21,6,0,0,0,0,29,0,4,0,2,0,15,17,6,71,1,0,1,13,1,2,1,0,-0.08638796210289001,-0.2907378673553467,0.578950047492981,0.09477853029966354,-0.2094012200832367,0.2741774618625641,0.2251145839691162,-0.2719939053058624,0.086366668343544,13_Jun_2024_14_19
244,8,224,16,399,0,225,79,20,4,0,1,0,0,27,0,4,0,1,0,8,19,0,71,0,1,1,11,1,0,0,0,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
243,5,226,14,394,2,231,76,21,5,1,0,0,1,27,0,2,0,0,0,10,17,5,73,1,0,0,16,0,1,0,0,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
242,12,222,18,395,1,218,81,16,4,0,1,0,0,27,0,2,1,8,2,11,20,2,72,0,1,0,11,0,0,0,4,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
242,10,225,19,392,7,224,81,20,5,0,0,0,1,26,0,1,1,0,0,12,16,6,74,0,1,2,11,9,1,0,0,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
246,10,227,16,393,0,228,82,21,0,0,0,1,1,25,0,2,0,1,0,13,17,3,76,0,1,0,12,0,1,0,0,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
242,10,224,19,389,0,228,82,21,3,2,0,1,5,29,1,3,0,0,0,13,16,1,77,0,0,0,14,0,1,0,1,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
239,7,218,17,387,0,221,86,16,4,0,2,0,10,26,0,3,0,0,1,12,17,4,75,0,0,0,14,0,0,0,0,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
247,11,223,20,385,0,231,84,20,4,1,0,0,0,25,0,2,0,1,0,13,17,4,74,0,0,0,11,0,0,8,0,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
247,10,220,18,390,2,228,84,21,4,1,11,0,0,29,0,0,0,0,2,11,19,4,76,0,1,0,12,0,0,4,0,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
238,10,224,17,387,0,227,82,20,6,0,2,0,0,25,0,3,5,1,0,12,20,4,78,0,0,0,13,0,2,0,0,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
240,11,225,17,386,0,227,82,18,3,0,2,0,0,30,1,1,1,1,0,12,16,6,77,3,0,0,8,1,0,0,5,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
241,11,218,20,384,0,228,79,20,5,0,2,1,0,29,0,2,0,0,0,12,18,2,74,0,1,0,13,0,2,0,3,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
240,9,218,18,383,0,229,79,20,3,0,1,0,0,30,6,2,2,0,2,11,19,4,76,0,0,0,10,0,12,0,0,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
237,5,216,16,384,1,231,80,22,4,0,0,0,0,32,0,0,4,1,7,11,15,4,75,0,0,0,11,0,3,0,0,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
238,8,214,19,384,0,233,81,20,9,0,2,0,1,26,0,3,0,1,2,12,19,4,78,1,0,0,10,12,1,7,0,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
238,10,213,13,382,1,235,81,18,3,0,3,0,0,29,1,0,1,0,1,12,19,2,80,0,3,0,10,0,0,0,0,-0.08647838234901428,-0.29074975848197937,0.5789564847946167,0.0947725772857666,-0.20943601429462433,0.2742230296134949,0.22510504722595215,-0.2720003128051758,0.0863848328590393,13_Jun_2024_14_19
238,5,212,19,383,1,235,79,18,4,0,2,4,0,26,0,1,0,2,0,10,18,5,80,1,1,1,10,2,0,0,0,-0.0865720584988594,-0.29075902700424194,0.5789620876312256,0.09476572275161743,-0.20947614312171936,0.27427050471305847,0.22509777545928955,-0.2720029950141907,0.08639387041330338,13_Jun_2024_14_19
