,MSx,MSy,MSz,MEx,MEy,MEz,MWx,MWy,MWz
0,-0.16584142,-0.32391524,0.57160944,0.065244734,-0.19923599,0.33083367,0.20645864,-0.288919,0.30223617
1,-0.16596378,-0.32394361,0.57159746,0.065105096,-0.19775723,0.33108953,0.20800811,-0.28560245,0.3029226
2,-0.16612434,-0.32399297,0.57158065,0.064857565,-0.1954661,0.33150265,0.20964305,-0.28068745,0.3037749
3,-0.16622615,-0.3240241,0.5715698,0.064664,-0.19391826,0.33180317,0.2106349,-0.2773651,0.30431423
4,-0.16637485,-0.32407507,0.5715787,0.06433168,-0.1916171,0.3323078,0.21176739,-0.27262357,0.3052341
5,-0.16648586,-0.32408994,0.57157946,0.06410321,-0.19012603,0.33269677,0.21269323,-0.2695076,0.30571297
6,-0.1666467,-0.3241662,0.57160753,0.06372305,-0.18793686,0.3333227,0.2143096,-0.26487648,0.30674815
7,-0.16674775,-0.3242152,0.5716397,0.06346122,-0.18650301,0.33376566,0.21513009,-0.26168424,0.30736116
8,-0.16691661,-0.32426995,0.57168233,0.063056536,-0.18435432,0.33446428,0.21647216,-0.25673908,0.30836013
9,-0.16704534,-0.32430688,0.57171696,0.06278125,-0.18290627,0.334956,0.21734643,-0.25327304,0.3090012
10,-0.16723904,-0.3243239,0.57174045,0.062359523,-0.1806843,0.3357337,0.21865007,-0.24800879,0.3100118
11,-0.16736817,-0.3243798,0.57177085,0.06206509,-0.17919049,0.33626765,0.21931127,-0.24451955,0.31057343
12,-0.16755725,-0.3244224,0.57178396,0.061606955,-0.17695265,0.3370651,0.22031832,-0.23937756,0.3115122
13,-0.16768725,-0.3244403,0.5718077,0.0613002,-0.17546344,0.33760256,0.22087209,-0.23600848,0.3120578
14,-0.16788438,-0.32442462,0.57184714,0.060844865,-0.17325823,0.33839396,0.22173463,-0.23090807,0.3129441
15,-0.16800536,-0.32446495,0.57187396,0.060536046,-0.17180002,0.33890936,0.22220513,-0.22740689,0.31348762
16,-0.16800536,-0.32446495,0.57187396,0.060536046,-0.17180002,0.33890936,0.22220513,-0.22740689,0.31348762
17,-0.1681659,-0.3245376,0.5718938,0.0599945,-0.16940324,0.33971342,0.22359453,-0.21812949,0.31475577
18,-0.16829367,-0.32458517,0.57189846,0.05931628,-0.16662501,0.34058943,0.22421776,-0.21221142,0.31537896
19,-0.16835645,-0.3246131,0.57190186,0.05884069,-0.16480187,0.34115276,0.22459304,-0.20823401,0.31582963
20,-0.16843143,-0.3246679,0.5719172,0.05806293,-0.16210929,0.3419808,0.22491246,-0.20251857,0.31645197
21,-0.16847506,-0.32471007,0.5719351,0.057507675,-0.16035756,0.34251612,0.2251113,-0.19887501,0.31684315
22,-0.16853468,-0.32482514,0.5719992,0.056616914,-0.15782323,0.3432809,0.22510913,-0.1934332,0.317409
23,-0.16857854,-0.3248822,0.57203585,0.056003895,-0.1561986,0.34375003,0.22492945,-0.18999477,0.31752285
24,-0.16863698,-0.3249925,0.5721447,0.055065934,-0.15387176,0.34440705,0.22478127,-0.18458901,0.3179475
25,-0.16866605,-0.32504356,0.5722097,0.05442227,-0.15237305,0.34480458,0.22464743,-0.18082605,0.3182467
26,-0.16870277,-0.32512802,0.5723164,0.053429645,-0.15018247,0.34535474,0.22442953,-0.17509614,0.31852713
27,-0.16872147,-0.3251921,0.5723913,0.05275209,-0.14873302,0.34569952,0.22405776,-0.1710499,0.31871638
28,-0.16874515,-0.32530442,0.5724459,0.051689316,-0.14653778,0.34618485,0.22338492,-0.1649508,0.3189202
29,-0.16874939,-0.32533267,0.572458,0.051319163,-0.14578578,0.34633967,0.22318168,-0.16299972,0.31905022
30,-0.16874939,-0.32533267,0.572458,0.051319163,-0.14578578,0.34633967,0.22318168,-0.16299972,0.31905022
31,-0.16877991,-0.32543862,0.5724981,0.049983893,-0.1431833,0.34681994,0.22198048,-0.15167317,0.3193649
32,-0.1688237,-0.32555678,0.57256985,0.048415262,-0.14034078,0.34728003,0.22119817,-0.14597647,0.3193862
33,-0.1688647,-0.32565495,0.572628,0.04739843,-0.13858257,0.3475374,0.22063002,-0.14206485,0.31936398
34,-0.16893122,-0.325791,0.5727043,0.04593524,-0.1361247,0.34789026,0.22024468,-0.13590036,0.32001543
35,-0.16898042,-0.32586974,0.5727523,0.044980783,-0.1345737,0.3481039,0.21980909,-0.13167904,0.319959
36,-0.1690248,-0.32594836,0.5727971,0.044024024,-0.13307106,0.34830403,0.21918547,-0.12718835,0.31986654
37,-0.16908036,-0.32607904,0.5728555,0.04257899,-0.13086848,0.34859848,0.21806921,-0.12007663,0.3195803
